2022-01-31 18:09:50.676081
1
4
8
12
2022-01-31 18:09:50.697086
2
10
14
24
2022-01-31 18:09:50.707089
3
14
18
32
2022-01-31 18:09:50.716091
4
8
8
16
2022-01-31 18:09:50.729093
5
11
1
12
2022-01-31 18:09:50.743097
6
16
15
31
2022-01-31 18:09:50.752098
7
0
8
8
2022-01-31 18:09:50.768718
8
5
7
12
2022-01-31 18:09:50.778231
9
3
5
8
2022-01-31 18:09:50.787233
10
3
13
16
2022-01-31 18:09:50.795284
11
4
8
12
2022-01-31 18:09:50.804489
12
1
11
12
2022-01-31 18:09:50.812267
13
2
6
8
2022-01-31 18:09:50.821259
14
3
5
8
2022-01-31 18:09:50.830262
15
5
3
8
2022-01-31 18:09:50.838263
16
12
4
16
2022-01-31 18:09:50.847267
17
6
10
16
2022-01-31 18:09:50.855268
18
13
3
16
2022-01-31 18:09:50.864777
19
7
9
16
2022-01-31 18:09:50.873806
20
3
5
8
2022-01-31 18:09:50.881809
21
11
5
16
2022-01-31 18:09:50.889809
22
4
8
12
2022-01-31 18:09:50.898834
23
5
11
16
2022-01-31 18:09:50.906782
24
3
5
8
2022-01-31 18:09:50.915806
25
5
3
8
2022-01-31 18:09:50.924839
26
0
8
8
2022-01-31 18:09:50.932868
27
6
2
8
2022-01-31 18:09:50.941860
28
3
5
8
2022-01-31 18:09:50.950889
29
12
4
16
2022-01-31 18:09:50.958889
30
6
2
8
2022-01-31 18:09:50.967400
31
7
1
8
2022-01-31 18:09:50.975546
32
6
2
8
2022-01-31 18:09:50.984552
33
3
5
8
2022-01-31 18:09:50.993454
34
0
16
16
2022-01-31 18:09:51.002447
35
0
8
8
2022-01-31 18:09:51.010454
36
0
32
32
2022-01-31 18:09:51.018459
37
0
24
24
2022-01-31 18:09:51.027464
38
0
16
16
2022-01-31 18:09:51.044475
39
2
6
8
2022-01-31 18:09:51.052477
40
0
8
8
2022-01-31 18:09:51.060479
41
4
4
8
2022-01-31 18:09:51.067992
42
2
6
8
2022-01-31 18:09:51.076996
43
1
7
8
2022-01-31 18:09:51.084978
44
5
3
8
2022-01-31 18:09:51.093612
45
6
2
8
2022-01-31 18:09:51.101614
46
1
7
8
2022-01-31 18:09:51.110617
47
3
5
8
2022-01-31 18:09:51.118618
48
4
4
8
2022-01-31 18:09:51.127620
49
4
4
8
2022-01-31 18:09:51.135622
50
1
7
8
2022-01-31 18:09:51.144624
51
6
6
12
2022-01-31 18:09:51.152626
53
0
8
8
2022-01-31 18:09:51.161628
54
4
4
8
2022-01-31 18:09:51.169633
55
34
34
68
2022-01-31 18:09:51.178635
56
4
8
12
2022-01-31 18:09:51.186637
57
5
3
8
2022-01-31 18:09:51.195639
59
1
7
8
2022-01-31 18:14:52.167448
1
4
8
12
2022-01-31 18:14:52.175450
2
10
14
24
2022-01-31 18:14:52.184452
3
14
18
32
2022-01-31 18:14:52.193454
4
8
8
16
2022-01-31 18:14:52.201456
5
11
1
12
2022-01-31 18:14:52.209458
6
16
15
31
2022-01-31 18:14:52.218460
7
0
8
8
2022-01-31 18:14:52.226462
8
5
7
12
2022-01-31 18:14:52.235464
9
3
5
8
2022-01-31 18:14:52.243466
10
3
13
16
2022-01-31 18:14:52.251467
11
4
8
12
2022-01-31 18:14:52.260470
12
1
11
12
2022-01-31 18:14:52.269471
13
2
6
8
2022-01-31 18:14:52.278473
14
3
5
8
2022-01-31 18:14:52.286475
15
5
3
8
2022-01-31 18:14:52.294477
16
12
4
16
2022-01-31 18:14:52.302479
17
6
10
16
2022-01-31 18:14:52.311481
18
13
3
16
2022-01-31 18:14:52.320483
19
7
9
16
2022-01-31 18:14:52.328485
20
3
5
8
2022-01-31 18:14:52.337487
21
11
5
16
2022-01-31 18:14:52.345489
22
4
8
12
2022-01-31 18:14:52.354491
23
5
11
16
2022-01-31 18:14:52.362493
24
3
5
8
2022-01-31 18:14:52.370494
25
5
3
8
2022-01-31 18:14:52.379496
26
0
8
8
2022-01-31 18:14:52.395500
27
6
2
8
2022-01-31 18:14:52.404502
28
3
5
8
2022-01-31 18:14:52.413504
29
12
4
